"orderNumber","occurrenceID","family","verbatimScientificName","identificationQualifier","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","eventDate","year","basisOfRecord","lifeStage","organismQuantity","organismQuantityType","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","locality","municipality","stateProvince","island","islandGroup","country","countryCode","recordedBy","identifiedBy","identificationRemarks","occurrenceRemarks","associatedMedia","kingdom","scientificName","taxonID","geodeticDatum","language","license","rightsHolder","datasetID","institutionCode","datasetName","taxonRank","nomenclaturalCode"
11,"WL:SNAIL:GC:OCC:00010","Achatinidae","Rumina decollata",,"Rumina","decollata",,"(Linnaeus, 1758)",2016-08-04,2016,"HumanObservation","juvenile",1,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Rumina decollata","checklist_snails_grancanaria:taxon:ed523f5acaa5cf7eed990e4102546fc6","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
12,"WL:SNAIL:GC:OCC:00011","Enidae","Napaeus exilis",,"Napaeus","exilis",,"Henríquez, 1995",2016-08-04,2016,"HumanObservation","adult",1,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","https://live.staticflickr.com/65535/49870312996_a13baebbf8_b.jpg","Animalia","Napaeus exilis","checklist_snails_grancanaria:taxon:c673a21fbb0431513e90114fbd0054bc","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
13,"WL:SNAIL:GC:OCC:00012","Enidae","Napaeus obesatus",,"Napaeus","obesatus",,"(Webb & Berthelot, 1833)",2016-08-04,2016,"HumanObservation","adult",4,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Napaeus obesatus","checklist_snails_grancanaria:taxon:d9daba1a127e8b02464fd65b2ae41bb1","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
14,"WL:SNAIL:GC:OCC:00013","Ferussaciidae","Ferussacia folliculum",,"Ferussacia","folliculum",,"(Schröter, 1784)",2016-08-04,2016,"HumanObservation","adult",12,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Ferussacia folliculum","checklist_snails_grancanaria:taxon:03f5c123d00316b8c2af50ee740978ab","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
15,"WL:SNAIL:GC:OCC:00014","Ferussaciidae","Ferussacia folliculum",,"Ferussacia","folliculum",,"(Schröter, 1784)",2016-08-04,2016,"HumanObservation","juvenile",1,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Ferussacia folliculum","checklist_snails_grancanaria:taxon:03f5c123d00316b8c2af50ee740978ab","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
16,"WL:SNAIL:GC:OCC:00015","Geomitridae","Cernuella virgata",,"Cernuella","virgata",,"(da Costa, 1778)",2016-08-04,2016,"HumanObservation","adult",3,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Cernuella virgata","checklist_snails_grancanaria:taxon:78e3e0015225ecbf2557ec9cc810bd2a","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
17,"WL:SNAIL:GC:OCC:00016","Geomitridae","Cochlicella acuta",,"Cochlicella","acuta",,"(O.F. Müller, 1774)",2016-08-04,2016,"HumanObservation","adult",1,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Cochlicella acuta","checklist_snails_grancanaria:taxon:11a5e1569b9beb490e33b7a6b669fc4f","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
18,"WL:SNAIL:GC:OCC:00017","Geomitridae","Cochlicella acuta",,"Cochlicella","acuta",,"(O.F. Müller, 1774)",2016-08-04,2016,"HumanObservation","juvenile",8,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Cochlicella acuta","checklist_snails_grancanaria:taxon:11a5e1569b9beb490e33b7a6b669fc4f","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
19,"WL:SNAIL:GC:OCC:00018","Geomitridae","Cochlicella barbara",,"Cochlicella","barbara",,"(Linnaeus, 1758)",2016-08-04,2016,"HumanObservation","adult",2,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Cochlicella barbara","checklist_snails_grancanaria:taxon:5d5814ec63be19cb1459889d555f1f01","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
20,"WL:SNAIL:GC:OCC:00019","Geomitridae","Monilearia montigena",,"Monilearia","montigena",,"Bank, Groh & Ripken, 2002",2016-08-04,2016,"HumanObservation",,20,"estimate count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Monilearia montigena","checklist_snails_grancanaria:taxon:a9104be5d809b92d2d754f19eea9e7e9","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
21,"WL:SNAIL:GC:OCC:00020","Geomitridae","Xerotricha conspurcata",,"Xerotricha","conspurcata",,"(Draparnaud, 1801)",2016-08-04,2016,"HumanObservation",,20,"estimate count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Xerotricha conspurcata","checklist_snails_grancanaria:taxon:f2c1623a9c2d988346365d8b2428f4f6","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
22,"WL:SNAIL:GC:OCC:00021","Helicidae","Hemicycla cf. gaudryi","cf.","Hemicycla","cf. gaudryi",,,2016-08-04,2016,"HumanObservation","adult",4,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shells are old but lack granulation (unlike in H. ethelema)","empty shell",,"Animalia","Hemicycla gaudryi","checklist_snails_grancanaria:taxon:ca9a905b3bd8d7f47bdc4a72a447cf9f","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
23,"WL:SNAIL:GC:OCC:00022","Helicidae","Hemicycla glasiana",,"Hemicycla","glasiana",,"(Shuttleworth, 1852)",2016-08-04,2016,"HumanObservation","adult",1,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"alive",,"Animalia","Hemicycla glasiana","checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
24,"WL:SNAIL:GC:OCC:00023","Helicidae","Hemicycla glasiana",,"Hemicycla","glasiana",,"(Shuttleworth, 1852)",2016-08-04,2016,"HumanObservation","adult",14,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Hemicycla glasiana","checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
25,"WL:SNAIL:GC:OCC:00024","Helicidae","Otala lactea",,"Otala","lactea",,"(O.F. Müller, 1774)",2016-08-04,2016,"HumanObservation","adult",1,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Otala lactea","checklist_snails_grancanaria:taxon:385a77c6ebbb70834066e69625246546","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
26,"WL:SNAIL:GC:OCC:00025","Helicidae","Theba geminata",,"Theba","geminata",,"(Mousson, 1857)",2016-08-04,2016,"HumanObservation","adult",11,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Theba geminata","checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
27,"WL:SNAIL:GC:OCC:00026","Helicidae","Theba geminata",,"Theba","geminata",,"(Mousson, 1857)",2016-08-04,2016,"HumanObservation","juvenile",2,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Theba geminata","checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
28,"WL:SNAIL:GC:OCC:00027","Lauriidae","Lauria cylindracea",,"Lauria","cylindracea",,"(da Costa, 1778)",2016-08-04,2016,"HumanObservation",,20,"estimate count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Lauria cylindracea","checklist_snails_grancanaria:taxon:2961d32c4460cef228616ee6114b82cc","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
29,"WL:SNAIL:GC:OCC:00028","Pomatiidae","Pomatias adjunctus",,"Pomatias","adjunctus",,"(Mousson, 1872)",2016-08-04,2016,"HumanObservation","adult",13,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Pomatias adjunctus","checklist_snails_grancanaria:taxon:5f9454cef8f3dba48433d497d3f14cee","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
30,"WL:SNAIL:GC:OCC:00029","Pomatiidae","Pomatias adjunctus",,"Pomatias","adjunctus",,"(Mousson, 1872)",2016-08-04,2016,"HumanObservation","juvenile",1,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Pomatias adjunctus","checklist_snails_grancanaria:taxon:5f9454cef8f3dba48433d497d3f14cee","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
31,"WL:SNAIL:GC:OCC:00030","Pristilomatidae ","Hawaiia minuscula",,"Hawaiia","minuscula",,"(Binney, 1841)",2016-08-04,2016,"HumanObservation","adult",2,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","https://live.staticflickr.com/65535/49869419663_5b80d4b3c5_b.jpg","Animalia","Hawaiia minuscula","checklist_snails_grancanaria:taxon:49aa4e26ed68f3b38966bd594da7cb91","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
32,"WL:SNAIL:GC:OCC:00031","Pristilomatidae ","Hawaiia minuscula",,"Hawaiia","minuscula",,"(Binney, 1841)",2016-08-04,2016,"HumanObservation","juvenile",1,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell",,"Animalia","Hawaiia minuscula","checklist_snails_grancanaria:taxon:49aa4e26ed68f3b38966bd594da7cb91","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
33,"WL:SNAIL:GC:OCC:00032","Punctidae","Paralaoma servilis",,"Paralaoma","servilis",,"(Shuttleworth, 1852)",2016-08-04,2016,"HumanObservation",,20,"estimate count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert",,"empty shell","https://www.researchgate.net/profile/Ward_Langeraert/publication/339181680/figure/fig2/AS:857477809717248@1581450049032/3-Shells-of-Paralaoma-servilis-Shuttleworth-1852-from-Gran-Canaria-2-Shells-from_W640.jpg | https://www.researchgate.net/publication/339181680","Animalia","Paralaoma servilis","checklist_snails_grancanaria:taxon:13d00aa6b1279f408febac2230891710","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
34,"WL:SNAIL:GC:OCC:00033","Streptaxidae","Gibbulinella aff. dealbata","aff.","Gibbulinella","aff. dealbata",,,2016-08-04,2016,"HumanObservation","adult",4,"exact count",28.0637,-15.4627,25,"Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta)","Las Palmas de Gran Canaria","Las Palmas","Gran Canaria","Canary Islands","Spain","ES","Ward Langeraert","Ward Langeraert","shell wider and more solid than G. aff. dewinteri","empty shell",,"Animalia","Gibbulinella dealbata","checklist_snails_grancanaria:taxon:604812a2ea53f7aac98aadb1e1642768","WGS84","en","http://creativecommons.org/publicdomain/zero/1.0/","UGent","https://doi.org/10.15468/ny1f9n","UGent","Land and freshwater molluscs of Gran Canaria (Spain)","species","ICZN"
