orderNumber,occurrenceID,family,scientificName,genus,species,subspecies,author,eventDate,year,state,individualCount,juvenileCount,adultCount,countMethod,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,stateProvince,island,islandGroup,country,countryCode,recordedBy,basisOfRecord,disposition,etiket_ref,collection,determinavit (det.),occurrenceRemarks
11,WL:SNAIL:OCC:ES:00010,Enidae,Napaeus exilis,Napaeus,exilis,,"Henríquez, 1995",04/08/2016,2016,empty shell,1,0,1,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
12,WL:SNAIL:OCC:ES:00011,Enidae,Napaeus obesatus,Napaeus,obesatus,,"(Webb & Berthelot, 1833)",04/08/2016,2016,empty shell,4,0,4,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
13,WL:SNAIL:OCC:ES:00012,Ferussaciidae,Ferussacia folliculum,Ferussacia,folliculum,,"(Schröter, 1784)",04/08/2016,2016,empty shell,13,1,12,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
14,WL:SNAIL:OCC:ES:00013,Geomitridae,Cernuella virgata,Cernuella,virgata,,"(da Costa, 1778)",04/08/2016,2016,empty shell,3,0,3,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
15,WL:SNAIL:OCC:ES:00014,Geomitridae,Cochlicella acuta,Cochlicella,acuta,,"(O.F. Müller, 1774)",04/08/2016,2016,empty shell,9,8,1,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
16,WL:SNAIL:OCC:ES:00015,Geomitridae,Cochlicella barbara,Cochlicella,barbara,,"(Linnaeus, 1758)",04/08/2016,2016,empty shell,2,0,2,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
17,WL:SNAIL:OCC:ES:00016,Geomitridae,Monilearia montigena,Monilearia,montigena,,"Bank, Groh & Ripken, 2002",04/08/2016,2016,empty shell,20,,,estimate,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
18,WL:SNAIL:OCC:ES:00017,Geomitridae,Xerotricha conspurcata,Xerotricha,conspurcata,,"(Draparnaud, 1801)",04/08/2016,2016,empty shell,20,,,estimate,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
19,WL:SNAIL:OCC:ES:00018,Helicidae,Hemicycla cf. gaudryi,Hemicycla,cf. gaudryi,,,04/08/2016,2016,empty shell,4,0,4,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,shells are old but lack granulation (unlike in H. ethelema)
20,WL:SNAIL:OCC:ES:00019,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",04/08/2016,2016,alive,1,0,1,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
21,WL:SNAIL:OCC:ES:00020,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",04/08/2016,2016,empty shell,14,0,1,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
22,WL:SNAIL:OCC:ES:00021,Helicidae,Otala lactea,Otala,lactea,,"(O.F. Müller, 1774)",04/08/2016,2016,empty shell,1,0,1,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
23,WL:SNAIL:OCC:ES:00022,Helicidae,Theba geminata,Theba,geminata,,"(Mousson, 1857)",04/08/2016,2016,empty shell,13,2,11,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
24,WL:SNAIL:OCC:ES:00023,Lauriidae,Lauria cylindracea,Lauria,cylindracea,,"(da Costa, 1778)",04/08/2016,2016,empty shell,20,,,estimate,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
25,WL:SNAIL:OCC:ES:00024,Pomatiidae,Pomatias adjunctus,Pomatias,adjunctus,,"(Mousson, 1872)",04/08/2016,2016,empty shell,14,1,13,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
26,WL:SNAIL:OCC:ES:00025,Pristilomatidae ,Hawaiia minuscula,Hawaiia,minuscula,,"(Binney, 1841)",04/08/2016,2016,empty shell,3,1,2,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
27,WL:SNAIL:OCC:ES:00026,Punctidae,Paralaoma servilis,Paralaoma,servilis,,"(Shuttleworth, 1852)",04/08/2016,2016,empty shell,20,,,estimate,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
28,WL:SNAIL:OCC:ES:00027,Streptaxidae,Gibbulinella aff. dealbata,Gibbulinella,aff. dealbata,,,04/08/2016,2016,empty shell,4,0,4,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,shell wider and more solid than G. aff. dewinteri
29,WL:SNAIL:OCC:ES:00028,Trissexodontidae,Caracollina lenticula,Caracollina,lenticula,,"(Michaud, 1831)",04/08/2016,2016,empty shell,2,0,2,exact,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
30,WL:SNAIL:OCC:ES:00029,Valloniidae,Vallonia costata,Vallonia,costata,,"(O.F. Müller, 1774)",04/08/2016,2016,empty shell,50,,,estimate,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
31,WL:SNAIL:OCC:ES:00030,Valloniidae,Vallonia pulchella,Vallonia,pulchella,,"(O.F. Müller, 1774)",04/08/2016,2016,empty shell,20,,,estimate,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
32,WL:SNAIL:OCC:ES:00031,Achatinidae,Rumina decollata,Rumina,decollata,,"(Linnaeus, 1758)",04/08/2016,2016,empty shell,1,0,1,exact,28.032082,-15.455414,25,Caldera de Bandama,Santa Brígida,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
33,WL:SNAIL:OCC:ES:00032,Enidae,Napaeus obesatus,Napaeus,obesatus,,"(Webb & Berthelot, 1833)",04/08/2016,2016,empty shell,1,0,1,exact,28.032082,-15.455414,25,Caldera de Bandama,Santa Brígida,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
34,WL:SNAIL:OCC:ES:00033,Geomitridae,Monilearia montigena,Monilearia,montigena,,"Bank, Groh & Ripken, 2002",04/08/2016,2016,empty shell,9,0,9,exact,28.032082,-15.455414,25,Caldera de Bandama,Santa Brígida,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
35,WL:SNAIL:OCC:ES:00034,Helicidae,Hemicycla ethelema,Hemicycla,ethelema,,"(J. Mabille, 1882)",04/08/2016,2016,empty shell,5,0,5,exact,28.032082,-15.455414,25,Caldera de Bandama,Santa Brígida,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
36,WL:SNAIL:OCC:ES:00035,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",04/08/2016,2016,empty shell,10,0,10,exact,28.032082,-15.455414,25,Caldera de Bandama,Santa Brígida,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
37,WL:SNAIL:OCC:ES:00036,Geomitridae,Cernuella virgata,Cernuella,virgata,,"(da Costa, 1778)",06/08/2016,2016,empty shell,3,0,3,exact,28.029778,-15.551656,25,North of Lomo del Gállego,Teror,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
38,WL:SNAIL:OCC:ES:00037,Geomitridae,Monilearia tumulorum,Monilearia,tumulorum,,"(Webb & Berthelot, 1833)",07/08/2016,2016,empty shell,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
39,WL:SNAIL:OCC:ES:00038,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",07/08/2016,2016,(sub)fossil,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
40,WL:SNAIL:OCC:ES:00039,Helicidae,Hemicycla saulcyi carta,Hemicycla,saulcyi,carta,"(J. Mabille, 1882)",07/08/2016,2016,(sub)fossil,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
41,WL:SNAIL:OCC:ES:00040,Helicidae,Theba pisana,Theba,pisana,,"(O.F. Müller, 1774)",07/08/2016,2016,empty shell,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Theo Ripken,
42,WL:SNAIL:OCC:ES:00041,Pomatiidae,Pomatias adjunctus,Pomatias,adjunctus,,"(Mousson, 1872)",07/08/2016,2016,(sub)fossil,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
43,WL:SNAIL:OCC:ES:00042,Trissexodontidae,Caracollina lenticula,Caracollina,lenticula,,"(Michaud, 1831)",07/08/2016,2016,empty shell,,,,,28.160023,-15.43361,25,East of Playa del Confital (SW La Isleta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
44,WL:SNAIL:OCC:ES:00043,Enidae,Napaeus moquinianus,Napaeus,moquinianus,,"(Webb & Berthelot, 1833)",09/08/2016,2016,empty shell,30,,,estimate,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
45,WL:SNAIL:OCC:ES:00044,Geomitridae,Monilearia persimilis,Monilearia,persimilis,,"(Shuttleworth, 1852)",09/08/2016,2016,empty shell,40,,,estimate,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"shell smaller and more diamond shaped than M. cf. praeposita, very variable in shell height"
46,WL:SNAIL:OCC:ES:00045,Geomitridae,Xerotricha aff. orbignii,Xerotricha,aff. orbignii,,,09/08/2016,2016,empty shell,4,4,0,exact,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
47,WL:SNAIL:OCC:ES:00046,Geomitridae,Xerotricha conspurcata,Xerotricha,conspurcata,,"(Draparnaud, 1801)",09/08/2016,2016,empty shell,20,,,estimate,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
48,WL:SNAIL:OCC:ES:00047,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",09/08/2016,2016,empty shell,15,0,15,exact,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
49,WL:SNAIL:OCC:ES:00048,Helicidae,Hemicycla guamartemes,Hemicycla,guamartemes,,"(Grasset, 1857)",09/08/2016,2016,empty shell,10,0,10,exact,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
50,WL:SNAIL:OCC:ES:00049,Oxychilidae,Oxychilus draparnaudi,Oxychilus,draparnaudi,,"(H. Beck, 1837)",09/08/2016,2016,empty shell,6,1,5,exact,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
51,WL:SNAIL:OCC:ES:00050,Pomatiidae,Pomatias adjunctus,Pomatias,adjunctus,,"(Mousson, 1872)",09/08/2016,2016,empty shell,3,1,2,exact,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
52,WL:SNAIL:OCC:ES:00051,Punctidae,Paralaoma servilis,Paralaoma,servilis,,"(Shuttleworth, 1852)",09/08/2016,2016,empty shell,30,,,estimate,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
53,WL:SNAIL:OCC:ES:00052,Vertiginidae,Truncatellina atomus,Truncatellina,atomus,,"(Shuttleworth, 1852)",09/08/2016,2016,empty shell,1,0,1,exact,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
54,WL:SNAIL:OCC:ES:00053,Vitrinidae,Insulivitrina parryi,Insulivitrina,parryi,,"(Gude, 1896)",09/08/2016,2016,empty shell,6,2,4,exact,28.09359,-15.594009,25,Los Tilos de Moya,Moya,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
55,WL:SNAIL:OCC:ES:00054,Enidae,Napaeus cf. venegueraensis,Napaeus,cf. venegueraensis,,,13/08/2016,2016,(sub)fossil,1,0,1,exact,27.866847,-15.389485,25,Montaña de Arinaga southeastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"smaller and with a more pointed top, subadult of N. venegueraensis?"
56,WL:SNAIL:OCC:ES:00055,Geomitridae,Monilearia cf. praeposita,Monilearia,cf. praeposita,,,13/08/2016,2016,(sub)fossil,7,0,7,exact,27.866847,-15.389485,25,Montaña de Arinaga southeastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"convex shells, like the ones I found in Barranco de Guayadeque, but smaller"
57,WL:SNAIL:OCC:ES:00056,Geomitridae,Obelus despreauxii,Obelus,despreauxii,,"(d´Orbigny, 1839)",13/08/2016,2016,(sub)fossil,30,,,estimate,27.866847,-15.389485,25,Montaña de Arinaga southeastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
58,WL:SNAIL:OCC:ES:00057,Geomitridae,Obelus despreauxii,Obelus,despreauxii,,"(d´Orbigny, 1839)",13/08/2016,2016,empty shell,1,0,1,exact,27.866847,-15.389485,25,Montaña de Arinaga southeastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
59,WL:SNAIL:OCC:ES:00058,Geomitridae,Obelus pumilio,Obelus,pumilio,,"(Dillwyn, 1817)",13/08/2016,2016,(sub)fossil,30,,,estimate,27.866847,-15.389485,25,Montaña de Arinaga southeastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
60,WL:SNAIL:OCC:ES:00059,Helicidae,Hemicycla ethelema,Hemicycla,ethelema,,"(J. Mabille, 1882)",13/08/2016,2016,(sub)fossil,51,,,estimate,27.866847,-15.389485,25,Montaña de Arinaga southeastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
61,WL:SNAIL:OCC:ES:00060,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",13/08/2016,2016,(sub)fossil,50,,,estimate,27.866847,-15.389485,25,Montaña de Arinaga southeastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
62,WL:SNAIL:OCC:ES:00061,Helicidae,Otala lactea,Otala,lactea,,"(O.F. Müller, 1774)",13/08/2016,2016,(sub)fossil,1,0,1,exact,27.866847,-15.389485,25,Montaña de Arinaga southeastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
63,WL:SNAIL:OCC:ES:00062,Helicidae,Theba arinagae,Theba,arinagae,,"E. Gittenberger & Ripken, 1987",13/08/2016,2016,(sub)fossil,50,,,estimate,27.866847,-15.389485,25,Montaña de Arinaga southeastern slope,Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
64,WL:SNAIL:OCC:ES:00063,Achatinidae,Rumina decollata,Rumina,decollata,,"(Linnaeus, 1758)",14/08/2016,2016,empty shell,1,0,1,exact,27.930978,-15.480764,25,Barranco de Guayadeque southern slope (S of Cueva Bermeja Höhlensiedlung),Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
65,WL:SNAIL:OCC:ES:00064,Geomitridae,Monilearia cf. praeposita,Monilearia,cf. praeposita,,,14/08/2016,2016,empty shell,20,0,20,exact,27.930978,-15.480764,25,Barranco de Guayadeque southern slope (S of Cueva Bermeja Höhlensiedlung),Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"convex shells, obtuse apex and larger than the shells I refer to as M. persimilis (cf. original description of Mousson)"
66,WL:SNAIL:OCC:ES:00065,Helicidae,Hemicycla ethelema,Hemicycla,ethelema,,"(J. Mabille, 1882)",14/08/2016,2016,empty shell,17,0,17,exact,27.930978,-15.480764,25,Barranco de Guayadeque southern slope (S of Cueva Bermeja Höhlensiedlung),Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
67,WL:SNAIL:OCC:ES:00066,Helicidae,Hemicycla glasiana,Hemicycla,glasiana,,"(Shuttleworth, 1852)",14/08/2016,2016,empty shell,25,,,estimate,27.930978,-15.480764,25,Barranco de Guayadeque southern slope (S of Cueva Bermeja Höhlensiedlung),Agüimes,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
